Step,Step Type,"t,s","I,A","U,V"
63,CC Chg,0.0,0.1698,2.986
63,CC Chg,6.666666666627862,0.17,2.9942
63,CC Chg,16.66666666662786,0.17,2.9983
63,CC Chg,26.66666666662786,0.17,3.0021
63,CC Chg,36.66666666662786,0.17,3.0056
63,CC Chg,46.66666666662786,0.17,3.0089
63,CC Chg,56.66666666662786,0.17,3.0122
63,CC Chg,66.66666666662786,0.17,3.0153
63,CC Chg,76.66666666662786,0.17,3.0184
63,CC Chg,86.66666666662786,0.17,3.0214
63,CC Chg,96.66666666662786,0.17,3.0243
63,CC Chg,106.66666666662786,0.17,3.0271
63,CC Chg,116.66666666662786,0.17,3.0298
63,CC Chg,126.66666666662786,0.17,3.0325
63,CC Chg,136.66666666662786,0.17,3.0351
63,CC Chg,146.66666666662786,0.17,3.0376
63,CC Chg,156.66666666662786,0.17,3.0401
63,CC Chg,166.66666666662786,0.17,3.0426
63,CC Chg,176.66666666662786,0.17,3.045
63,CC Chg,186.66666666662786,0.17,3.0474
63,CC Chg,196.66666666662786,0.17,3.0497
63,CC Chg,206.66666666662786,0.17,3.052
63,CC Chg,216.66666666662786,0.17,3.0542
63,CC Chg,226.66666666662786,0.17,3.0564
63,CC Chg,236.66666666662786,0.17,3.0585
63,CC Chg,246.66666666662786,0.17,3.0607
63,CC Chg,256.66666666662786,0.17,3.0627
63,CC Chg,266.66666666662786,0.17,3.0647
63,CC Chg,276.66666666662786,0.17,3.0668
63,CC Chg,286.66666666662786,0.17,3.0688
63,CC Chg,296.66666666662786,0.17,3.0707
63,CC Chg,306.66666666662786,0.17,3.0727
63,CC Chg,316.66666666662786,0.17,3.0746
63,CC Chg,326.66666666662786,0.17,3.0764
63,CC Chg,336.66666666662786,0.17,3.0783
63,CC Chg,346.66666666662786,0.17,3.0801
63,CC Chg,356.66666666662786,0.17,3.0819
63,CC Chg,366.66666666662786,0.17,3.0837
63,CC Chg,376.66666666662786,0.17,3.0854
63,CC Chg,386.66666666662786,0.17,3.0872
63,CC Chg,396.66666666662786,0.17,3.0889
63,CC Chg,406.66666666662786,0.17,3.0905
63,CC Chg,416.66666666662786,0.17,3.0923
63,CC Chg,426.66666666662786,0.17,3.0939
63,CC Chg,436.66666666662786,0.17,3.0956
63,CC Chg,446.66666666662786,0.17,3.0972
63,CC Chg,456.66666666662786,0.17,3.0989
63,CC Chg,466.66666666662786,0.17,3.1004
63,CC Chg,476.66666666662786,0.17,3.102
63,CC Chg,486.66666666662786,0.17,3.1036
63,CC Chg,496.66666666662786,0.17,3.1052
63,CC Chg,506.66666666662786,0.17,3.1067
63,CC Chg,516.6666666666279,0.17,3.1082
63,CC Chg,526.6666666666279,0.17,3.1097
63,CC Chg,536.6666666666279,0.17,3.1113
63,CC Chg,546.6666666666279,0.17,3.1128
63,CC Chg,556.6666666666279,0.17,3.1143
63,CC Chg,566.6666666666279,0.17,3.1157
63,CC Chg,576.6666666666279,0.17,3.1172
