Step,Step Type,"t,s","I,A","U,V"
61,CC DChg,0.0,-0.1697,4.1905
61,CC DChg,6.666666666686069,-0.1699,4.1883
61,CC DChg,16.66666666668607,-0.17,4.1873
61,CC DChg,26.66666666668607,-0.17,4.1863
61,CC DChg,36.66666666668607,-0.17,4.1856
61,CC DChg,46.66666666668607,-0.17,4.1848
61,CC DChg,56.66666666668607,-0.17,4.1842
61,CC DChg,66.66666666668607,-0.17,4.1835
61,CC DChg,76.66666666668607,-0.17,4.1829
61,CC DChg,86.66666666668607,-0.17,4.1823
61,CC DChg,96.66666666668607,-0.17,4.1818
61,CC DChg,106.66666666668607,-0.17,4.1813
61,CC DChg,116.66666666668607,-0.17,4.1807
61,CC DChg,126.66666666668607,-0.17,4.1802
61,CC DChg,136.66666666668607,-0.17,4.1798
61,CC DChg,146.66666666668607,-0.1699,4.1792
61,CC DChg,156.66666666668607,-0.1699,4.1788
61,CC DChg,166.66666666668607,-0.17,4.1782
61,CC DChg,176.66666666668607,-0.17,4.1778
61,CC DChg,186.66666666668607,-0.17,4.1773
61,CC DChg,196.66666666668607,-0.17,4.1769
61,CC DChg,206.66666666668607,-0.17,4.1765
61,CC DChg,216.66666666668607,-0.17,4.176
61,CC DChg,226.66666666668607,-0.17,4.1755
61,CC DChg,236.66666666668607,-0.17,4.1751
61,CC DChg,246.66666666668607,-0.17,4.1746
61,CC DChg,256.66666666668607,-0.17,4.1743
61,CC DChg,266.66666666668607,-0.17,4.1738
61,CC DChg,276.66666666668607,-0.17,4.1734
61,CC DChg,286.66666666668607,-0.17,4.1729
61,CC DChg,296.66666666668607,-0.17,4.1725
61,CC DChg,306.66666666668607,-0.17,4.1721
61,CC DChg,316.66666666668607,-0.17,4.1717
61,CC DChg,326.66666666668607,-0.17,4.1713
61,CC DChg,336.66666666668607,-0.17,4.1709
61,CC DChg,346.66666666668607,-0.17,4.1705
61,CC DChg,356.66666666668607,-0.17,4.1701
61,CC DChg,366.66666666668607,-0.17,4.1697
61,CC DChg,376.66666666668607,-0.17,4.1692
61,CC DChg,386.66666666668607,-0.17,4.1689
61,CC DChg,396.66666666668607,-0.17,4.1684
61,CC DChg,406.66666666668607,-0.17,4.1681
61,CC DChg,416.66666666668607,-0.17,4.1677
61,CC DChg,426.66666666668607,-0.17,4.1673
61,CC DChg,436.66666666668607,-0.1699,4.1669
61,CC DChg,446.66666666668607,-0.1699,4.1665
61,CC DChg,456.66666666668607,-0.17,4.1661
61,CC DChg,466.66666666668607,-0.17,4.1657
61,CC DChg,476.66666666668607,-0.17,4.1653
61,CC DChg,486.66666666668607,-0.17,4.165
61,CC DChg,496.66666666668607,-0.17,4.1646
61,CC DChg,506.66666666668607,-0.17,4.1642
61,CC DChg,516.6666666666861,-0.17,4.1639
61,CC DChg,526.6666666666861,-0.17,4.1636
61,CC DChg,536.6666666666861,-0.17,4.1631
61,CC DChg,546.6666666666861,-0.17,4.1628
61,CC DChg,556.6666666666861,-0.17,4.1624
61,CC DChg,566.6666666666861,-0.17,4.162
61,CC DChg,576.6666666666861,-0.17,4.1617
61,CC DChg,586.6666666666861,-0.17,4.1613
61,CC DChg,596.6666666666861,-0.17,4.1609
61,CC DChg,606.6666666666861,-0.17,4.1606
61,CC DChg,616.6666666666861,-0.17,4.1603
61,CC DChg,626.6666666666861,-0.17,4.1599
61,CC DChg,636.6666666666861,-0.17,4.1596
61,CC DChg,646.6666666666861,-0.17,4.1593
61,CC DChg,656.6666666666861,-0.17,4.1589
61,CC DChg,666.6666666666861,-0.17,4.1586
61,CC DChg,676.6666666666861,-0.17,4.1583
61,CC DChg,686.6666666666861,-0.17,4.1579
61,CC DChg,696.6666666666861,-0.17,4.1576
61,CC DChg,706.6666666666861,-0.17,4.1572
61,CC DChg,716.6666666666861,-0.17,4.1569
61,CC DChg,726.6666666666861,-0.1699,4.1566
61,CC DChg,736.6666666666861,-0.1699,4.1562
61,CC DChg,746.6666666666861,-0.1699,4.1559
61,CC DChg,756.6666666666861,-0.17,4.1555
61,CC DChg,766.6666666666861,-0.17,4.1552
61,CC DChg,776.6666666666861,-0.17,4.1549
61,CC DChg,786.6666666666861,-0.17,4.1545
61,CC DChg,796.6666666666861,-0.17,4.1543
61,CC DChg,806.6666666666861,-0.17,4.1539
61,CC DChg,816.6666666666861,-0.17,4.1536
61,CC DChg,826.6666666666861,-0.17,4.1533
61,CC DChg,836.6666666666861,-0.17,4.153
61,CC DChg,846.6666666666861,-0.17,4.1527
61,CC DChg,856.6666666666861,-0.17,4.1523
61,CC DChg,866.6666666666861,-0.1699,4.1521
61,CC DChg,876.6666666666861,-0.17,4.1518
61,CC DChg,886.6666666666861,-0.17,4.1515
61,CC DChg,896.6666666666861,-0.17,4.1512
61,CC DChg,906.6666666666861,-0.17,4.1509
61,CC DChg,916.6666666666861,-0.17,4.1505
61,CC DChg,926.6666666666861,-0.17,4.1503
61,CC DChg,936.6666666666861,-0.17,4.1499
61,CC DChg,946.6666666666861,-0.17,4.1496
61,CC DChg,956.6666666666861,-0.17,4.1494
61,CC DChg,966.6666666666861,-0.17,4.1491
61,CC DChg,976.6666666666861,-0.17,4.1488
61,CC DChg,986.6666666666861,-0.17,4.1485
61,CC DChg,996.6666666666861,-0.17,4.1482
61,CC DChg,1006.6666666666861,-0.17,4.1479
61,CC DChg,1016.6666666666861,-0.17,4.1475
61,CC DChg,1026.666666666686,-0.17,4.1472
61,CC DChg,1036.666666666686,-0.17,4.1469
61,CC DChg,1046.666666666686,-0.17,4.1467
61,CC DChg,1056.666666666686,-0.17,4.1464
61,CC DChg,1066.666666666686,-0.17,4.1461
61,CC DChg,1076.666666666686,-0.17,4.1458
61,CC DChg,1086.666666666686,-0.17,4.1456
61,CC DChg,1096.666666666686,-0.17,4.1453
61,CC DChg,1106.666666666686,-0.17,4.145
61,CC DChg,1116.666666666686,-0.17,4.1447
61,CC DChg,1126.666666666686,-0.17,4.1445
61,CC DChg,1136.666666666686,-0.17,4.1442
61,CC DChg,1146.666666666686,-0.17,4.144
61,CC DChg,1156.666666666686,-0.17,4.1436
61,CC DChg,1166.666666666686,-0.17,4.1434
61,CC DChg,1176.666666666686,-0.17,4.1431
61,CC DChg,1186.666666666686,-0.17,4.1428
61,CC DChg,1196.666666666686,-0.17,4.1426
61,CC DChg,1206.666666666686,-0.17,4.1423
61,CC DChg,1216.666666666686,-0.17,4.142
61,CC DChg,1226.666666666686,-0.17,4.1417
61,CC DChg,1236.666666666686,-0.17,4.1415
61,CC DChg,1246.666666666686,-0.17,4.1412
61,CC DChg,1256.666666666686,-0.17,4.141
61,CC DChg,1266.666666666686,-0.17,4.1407
61,CC DChg,1276.666666666686,-0.17,4.1404
61,CC DChg,1286.666666666686,-0.17,4.1401
61,CC DChg,1296.666666666686,-0.17,4.1399
61,CC DChg,1306.666666666686,-0.17,4.1397
61,CC DChg,1316.666666666686,-0.17,4.1394
61,CC DChg,1326.666666666686,-0.17,4.1392
61,CC DChg,1336.666666666686,-0.17,4.1389
61,CC DChg,1346.666666666686,-0.17,4.1387
61,CC DChg,1356.666666666686,-0.17,4.1384
61,CC DChg,1366.666666666686,-0.17,4.1382
61,CC DChg,1376.666666666686,-0.17,4.1379
61,CC DChg,1386.666666666686,-0.17,4.1377
61,CC DChg,1396.666666666686,-0.17,4.1374
61,CC DChg,1406.666666666686,-0.17,4.1373
61,CC DChg,1416.666666666686,-0.17,4.137
61,CC DChg,1426.666666666686,-0.17,4.1367
61,CC DChg,1436.666666666686,-0.17,4.1364
61,CC DChg,1446.666666666686,-0.17,4.1361
61,CC DChg,1456.666666666686,-0.17,4.1359
61,CC DChg,1466.666666666686,-0.17,4.1357
61,CC DChg,1476.666666666686,-0.17,4.1355
61,CC DChg,1486.666666666686,-0.17,4.1353
61,CC DChg,1496.666666666686,-0.17,4.135
61,CC DChg,1506.666666666686,-0.17,4.1347
61,CC DChg,1516.666666666686,-0.17,4.1345
61,CC DChg,1526.666666666686,-0.17,4.1343
61,CC DChg,1536.666666666686,-0.1699,4.1341
61,CC DChg,1546.666666666686,-0.1699,4.1338
61,CC DChg,1556.666666666686,-0.17,4.1336
61,CC DChg,1566.666666666686,-0.17,4.1333
61,CC DChg,1576.666666666686,-0.17,4.1332
61,CC DChg,1586.666666666686,-0.17,4.1329
61,CC DChg,1596.666666666686,-0.17,4.1328
61,CC DChg,1606.666666666686,-0.1699,4.1325
61,CC DChg,1616.666666666686,-0.17,4.1322
61,CC DChg,1626.666666666686,-0.17,4.132
61,CC DChg,1636.666666666686,-0.17,4.1318
61,CC DChg,1646.666666666686,-0.17,4.1315
61,CC DChg,1656.666666666686,-0.17,4.1314
61,CC DChg,1666.666666666686,-0.17,4.1312
61,CC DChg,1676.666666666686,-0.17,4.1308
61,CC DChg,1686.666666666686,-0.17,4.1307
61,CC DChg,1696.666666666686,-0.17,4.1304
61,CC DChg,1706.666666666686,-0.17,4.1302
61,CC DChg,1716.666666666686,-0.17,4.13
61,CC DChg,1726.666666666686,-0.17,4.1298
61,CC DChg,1736.666666666686,-0.17,4.1296
