bat_num,temp,profile,file_name
1,+25,discharge,1_+25_discharge.csv
1,+25,charge,1_+25_charge.csv
2,+25,discharge,2_+25_discharge.csv
2,+25,charge,2_+25_charge.csv
3,+25,discharge,3_+25_discharge.csv
3,+25,charge,3_+25_charge.csv
4,+25,discharge,4_+25_discharge.csv
4,+25,charge,4_+25_charge.csv
5,+25,discharge,5_+25_discharge.csv
5,+25,charge,5_+25_charge.csv
1,+30,discharge,1_+30_discharge.csv
1,+30,charge,1_+30_charge.csv
2,+30,discharge,2_+30_discharge.csv
2,+30,charge,2_+30_charge.csv
3,+30,discharge,3_+30_discharge.csv
3,+30,charge,3_+30_charge.csv
4,+30,discharge,4_+30_discharge.csv
4,+30,charge,4_+30_charge.csv
5,+30,discharge,5_+30_discharge.csv
5,+30,charge,5_+30_charge.csv
1,+35,discharge,1_+35_discharge.csv
1,+35,charge,1_+35_charge.csv
2,+35,discharge,2_+35_discharge.csv
2,+35,charge,2_+35_charge.csv
3,+35,discharge,3_+35_discharge.csv
3,+35,charge,3_+35_charge.csv
4,+35,discharge,4_+35_discharge.csv
4,+35,charge,4_+35_charge.csv
5,+35,discharge,5_+35_discharge.csv
5,+35,charge,5_+35_charge.csv
