Step,Step Type,"t,s","I,A","U,V"
81,SIM,0.0,-0.1787,3.7106
81,SIM,0.39999999990686774,-0.1787,3.7106
81,SIM,0.7999999999301508,-0.1788,3.7106
81,SIM,0.9272727272473276,-0.1788,3.7104
81,SIM,1.054545454448089,-0.1789,3.7103
81,SIM,1.1818181817652658,-0.18,3.71
81,SIM,1.3090909090824425,-0.18,3.7101
81,SIM,1.436363636283204,-0.18,3.71
81,SIM,1.5636363636003807,-0.18,3.7101
81,SIM,1.6909090908011422,-0.18,3.71
81,SIM,1.818181818118319,-0.18,3.71
81,SIM,1.9454545454354957,-0.1799,3.7098
81,SIM,2.072727272636257,-0.1799,3.7099
81,SIM,2.175206611515023,-0.18,3.7099
81,SIM,2.277685950277373,-0.18,3.7098
81,SIM,2.380165289156139,-0.18,3.7098
81,SIM,2.4826446280349046,-0.18,3.7098
81,SIM,2.5851239669136703,-0.18,3.7098
81,SIM,2.6876033056760207,-0.18,3.7097
81,SIM,2.7900826445547864,-0.18,3.7097
81,SIM,2.892561983433552,-0.18,3.7097
81,SIM,2.995041322312318,-0.18,3.7095
81,SIM,3.097520661074668,-0.18,3.7096
81,SIM,3.197746055549942,-0.18,3.7096
81,SIM,3.2979714499088004,-0.18,3.7095
81,SIM,3.398196844384074,-0.1799,3.7095
81,SIM,3.498422238859348,-0.18,3.7094
81,SIM,3.598647633334622,-0.18,3.7095
81,SIM,3.6988730276934803,-0.18,3.7094
81,SIM,3.799098422168754,-0.18,3.7094
81,SIM,3.899323816644028,-0.18,3.7094
81,SIM,3.9995492111193016,-0.18,3.7093
81,SIM,4.09977460547816,-0.18,3.7093
81,SIM,4.199795095832087,-0.18,3.7093
81,SIM,4.299815586302429,-0.18,3.7093
81,SIM,4.3998360766563565,-0.1799,3.7092
81,SIM,4.499856567126699,-0.1799,3.7092
81,SIM,4.599877057480626,-0.18,3.7093
81,SIM,4.699897547950968,-0.18,3.7093
81,SIM,4.799918038304895,-0.18,3.7093
81,SIM,4.8999385287752375,-0.18,3.7093
81,SIM,4.9999590191291645,-0.18,3.7093
81,SIM,5.099979509599507,-0.18,3.7092
81,SIM,5.199981372337788,-0.18,3.7092
81,SIM,5.29998323507607,-0.18,3.7092
81,SIM,5.399985097930767,-0.18,3.7092
81,SIM,5.499986960669048,-0.18,3.7092
81,SIM,5.59998882340733,-0.18,3.7092
81,SIM,5.699990686145611,-0.18,3.7092
81,SIM,5.799992548883893,-0.18,3.709
81,SIM,5.899994411622174,-0.18,3.709
81,SIM,5.999996274476871,-0.18,3.709
81,SIM,6.099998137215152,-0.18,3.709
81,SIM,6.199998306576163,-0.18,3.709
81,SIM,6.299998475937173,-0.18,3.709
81,SIM,6.399998645181768,-0.18,3.709
81,SIM,6.499998814542778,-0.18,3.7089
81,SIM,6.599998983903788,-0.18,3.7089
81,SIM,6.699999153264798,-0.1799,3.7089
81,SIM,6.799999322625808,-0.1799,3.7089
81,SIM,6.899999491986819,-0.1799,3.7089
81,SIM,6.9999996612314135,-0.18,3.7089
81,SIM,7.099999830592424,-0.18,3.7088
81,SIM,7.199999845935963,-0.18,3.7089
81,SIM,7.299999861395918,-0.18,3.7089
81,SIM,7.399999876739457,-0.18,3.7088
81,SIM,7.499999892199412,-0.18,3.7089
81,SIM,7.599999907542951,-0.18,3.7088
81,SIM,7.699999923002906,-0.18,3.7088
81,SIM,7.799999938346446,-0.18,3.7088
81,SIM,7.8999999538064,-0.18,3.7088
81,SIM,7.99999996914994,-0.18,3.7088
81,SIM,8.099999984609894,-0.18,3.7087
81,SIM,8.199999985983595,-0.18,3.7087
81,SIM,8.299999987357296,-0.18,3.7087
81,SIM,8.399999988847412,-0.18,3.7086
81,SIM,8.499999990221113,-0.18,3.7087
81,SIM,8.599999991594814,-0.18,3.7087
81,SIM,8.699999992968515,-0.1799,3.7086
81,SIM,8.799999994342215,-0.1799,3.7086
81,SIM,8.899999995715916,-0.18,3.7086
81,SIM,8.999999997206032,-0.18,3.7085
81,SIM,9.099999998579733,-0.18,3.7083
81,SIM,9.199999998672865,-0.18,3.7085
81,SIM,9.299999998882413,-0.18,3.7085
81,SIM,9.399999998975545,-0.18,3.7085
81,SIM,9.499999999068677,-0.18,3.7085
81,SIM,9.59999999916181,-0.18,3.7085
81,SIM,9.699999999371357,-0.18,3.7085
81,SIM,9.79999999946449,-0.18,3.7086
81,SIM,9.899999999557622,-0.18,3.7086
81,SIM,9.999999999650754,-0.18,3.7085
81,SIM,10.099999999860302,-0.18,3.7086
81,SIM,10.199999999837019,-0.18,3.7086
81,SIM,10.29999999993015,-0.18,3.7085
81,SIM,10.399999999906868,-0.18,3.7085
81,SIM,10.499999999883585,-0.18,3.7084
81,SIM,10.599999999860302,-0.18,3.7084
81,SIM,10.699999999953434,-0.18,3.7083
81,SIM,10.79999999993015,-0.18,3.7083
81,SIM,10.899999999906868,-0.18,3.7083
81,SIM,10.999999999883585,-0.18,3.7083
81,SIM,11.099999999976717,-0.18,3.7083
81,SIM,11.199999999953434,-0.18,3.7082
81,SIM,11.29999999993015,-0.18,3.7083
81,SIM,11.400000000023283,-0.18,3.7082
81,SIM,11.5,-0.18,3.7083
81,SIM,11.599999999976717,-0.18,3.7082
81,SIM,11.699999999953434,-0.18,3.7083
81,SIM,11.79999999993015,-0.18,3.7082
81,SIM,11.899999999906868,-0.18,3.7082
81,SIM,12.0,-0.18,3.7082
81,SIM,12.099999999976717,-0.1829,3.7081
81,SIM,12.199999999953434,-0.1829,3.7082
81,SIM,12.29999999993015,-0.1829,3.7081
81,SIM,12.400000000023283,-0.2098,3.7067
81,SIM,12.5,-0.2099,3.7067
81,SIM,12.599999999976717,-0.2099,3.7067
81,SIM,12.699999999953434,-0.2399,3.7052
81,SIM,12.79999999993015,-0.24,3.7051
81,SIM,12.899999999906868,-0.24,3.7051
81,SIM,13.0,-0.24,3.7051
81,SIM,13.099999999976717,-0.2709,3.7035
81,SIM,13.199999999953434,-0.2709,3.7034
81,SIM,13.29999999993015,-0.271,3.7034
81,SIM,13.400000000023283,-0.3019,3.7018
81,SIM,13.5,-0.302,3.7018
81,SIM,13.599999999976717,-0.302,3.7018
81,SIM,13.699999999953434,-0.3339,3.7001
81,SIM,13.79999999993015,-0.3339,3.7001
81,SIM,13.899999999906868,-0.3339,3.7001
81,SIM,14.0,-0.3339,3.7
81,SIM,14.099999999976717,-0.366,3.6984
81,SIM,14.199999999953434,-0.366,3.6984
81,SIM,14.29999999993015,-0.366,3.6984
81,SIM,14.400000000023283,-0.3967,3.6967
81,SIM,14.5,-0.3968,3.6966
81,SIM,14.599999999976717,-0.3968,3.6966
81,SIM,14.699999999953434,-0.4289,3.695
81,SIM,14.79999999993015,-0.4289,3.6949
81,SIM,14.899999999906868,-0.4289,3.6949
81,SIM,15.0,-0.4289,3.6948
81,SIM,15.099999999976717,-0.4599,3.6931
81,SIM,15.199999999953434,-0.4599,3.693
81,SIM,15.29999999993015,-0.4599,3.693
81,SIM,15.400000000023283,-0.425,3.6947
81,SIM,15.5,-0.425,3.6946
81,SIM,15.599999999976717,-0.425,3.6946
81,SIM,15.699999999953434,-0.418,3.6948
81,SIM,15.79999999993015,-0.418,3.6948
81,SIM,15.899999999906868,-0.418,3.6948
81,SIM,16.0,-0.418,3.6947
81,SIM,16.099999999976717,-0.43,3.6941
81,SIM,16.199999999953434,-0.43,3.6942
81,SIM,16.29999999993015,-0.43,3.6941
81,SIM,16.400000000023283,-0.333,3.6988
81,SIM,16.5,-0.333,3.6989
81,SIM,16.599999999976717,-0.333,3.6989
81,SIM,16.699999999953434,-0.272,3.7018
81,SIM,16.79999999993015,-0.272,3.7018
81,SIM,16.899999999906868,-0.272,3.7018
81,SIM,17.0,-0.272,3.7019
81,SIM,17.099999999976717,-0.2371,3.7036
81,SIM,17.199999999953434,-0.237,3.7035
81,SIM,17.29999999993015,-0.237,3.7037
81,SIM,17.400000000023283,-0.218,3.7045
81,SIM,17.5,-0.218,3.7046
81,SIM,17.599999999976717,-0.218,3.7046
81,SIM,17.699999999953434,-0.208,3.7051
81,SIM,17.79999999993015,-0.208,3.7051
81,SIM,17.899999999906868,-0.208,3.7051
81,SIM,18.0,-0.208,3.7051
81,SIM,18.099999999976717,-0.204,3.7053
81,SIM,18.199999999953434,-0.204,3.7054
81,SIM,18.29999999993015,-0.204,3.7054
81,SIM,18.400000000023283,-0.2031,3.7055
81,SIM,18.5,-0.203,3.7055
81,SIM,18.599999999976717,-0.203,3.7055
81,SIM,18.699999999953434,-0.204,3.7053
81,SIM,18.79999999993015,-0.204,3.7055
81,SIM,18.899999999906868,-0.204,3.7054
81,SIM,19.0,-0.204,3.7054
81,SIM,19.099999999976717,-0.205,3.7053
81,SIM,19.199999999953434,-0.205,3.7054
81,SIM,19.29999999993015,-0.205,3.7053
81,SIM,19.400000000023283,-0.2059,3.7053
81,SIM,19.5,-0.2059,3.7052
81,SIM,19.599999999976717,-0.206,3.7052
81,SIM,19.699999999953434,-0.207,3.7052
81,SIM,19.79999999993015,-0.207,3.7052
81,SIM,19.899999999906868,-0.207,3.7052
81,SIM,20.0,-0.207,3.7052
81,SIM,20.099999999976717,-0.208,3.705
81,SIM,20.199999999953434,-0.208,3.7051
81,SIM,20.29999999993015,-0.208,3.7051
81,SIM,20.400000000023283,-0.2086,3.705
81,SIM,20.5,-0.2088,3.7051
81,SIM,20.599999999976717,-0.2088,3.705
81,SIM,20.699999999953434,-0.21,3.705
81,SIM,20.79999999993015,-0.21,3.7051
81,SIM,20.899999999906868,-0.21,3.7051
81,SIM,21.0,-0.21,3.705
81,SIM,21.099999999976717,-0.2109,3.7049
81,SIM,21.199999999953434,-0.211,3.705
81,SIM,21.29999999993015,-0.211,3.7049
81,SIM,21.400000000023283,-0.211,3.705
81,SIM,21.5,-0.211,3.7049
