Step,Step Type,"t,s","I,A","U,V"
71,SIM,0.0,-0.1788,3.7326
71,SIM,0.33333333337213844,-0.1788,3.7326
71,SIM,0.6666666667442769,-0.1788,3.7324
71,SIM,1.0,-0.1789,3.7323
71,SIM,1.121212121215649,-0.1789,3.7322
71,SIM,1.242424242431298,-0.1799,3.7321
71,SIM,1.3636363636469468,-0.18,3.732
71,SIM,1.4848484848625958,-0.18,3.732
71,SIM,1.6060606060782447,-0.1799,3.7319
71,SIM,1.7272727272938937,-0.1799,3.7319
71,SIM,1.8484848485095426,-0.1799,3.7318
71,SIM,1.9696969697251916,-0.1799,3.7318
71,SIM,2.0909090909408405,-0.18,3.7318
71,SIM,2.2121212121564895,-0.18,3.7318
71,SIM,2.3140495867701247,-0.18,3.7317
71,SIM,2.4159779615001753,-0.18,3.7317
71,SIM,2.5179063361138105,-0.18,3.7317
71,SIM,2.619834710727446,-0.18,3.7316
71,SIM,2.7217630854574963,-0.18,3.7317
71,SIM,2.8236914600711316,-0.18,3.7317
71,SIM,2.925619834801182,-0.18,3.7316
71,SIM,3.0275482094148174,-0.18,3.7316
71,SIM,3.1294765840284526,-0.18,3.7316
71,SIM,3.231404958758503,-0.18,3.7316
71,SIM,3.331580265541561,-0.18,3.7316
71,SIM,3.4317555723246187,-0.18,3.7314
71,SIM,3.5319308791076764,-0.18,3.7314
71,SIM,3.632106185890734,-0.18,3.7314
71,SIM,3.732281492673792,-0.18,3.7314
71,SIM,3.8324567994568497,-0.18,3.7314
71,SIM,3.9326321062399074,-0.18,3.7314
71,SIM,4.032807413022965,-0.18,3.7314
71,SIM,4.132982719806023,-0.18,3.7314
71,SIM,4.233158026589081,-0.18,3.7313
71,SIM,4.333173963590525,-0.18,3.7313
71,SIM,4.4331899005919695,-0.18,3.7312
71,SIM,4.533205837476999,-0.18,3.7313
71,SIM,4.633221774478443,-0.18,3.7313
71,SIM,4.733237711479887,-0.18,3.7313
71,SIM,4.833253648481332,-0.18,3.7313
71,SIM,4.933269585482776,-0.18,3.7312
71,SIM,5.033285522484221,-0.1799,3.7311
71,SIM,5.13330145936925,-0.18,3.7311
71,SIM,5.233317396370694,-0.18,3.7311
71,SIM,5.333318845136091,-0.18,3.731
71,SIM,5.4333202940179035,-0.18,3.731
71,SIM,5.533321742783301,-0.18,3.7311
71,SIM,5.633323191665113,-0.18,3.731
71,SIM,5.73332464043051,-0.18,3.731
71,SIM,5.833326089312322,-0.18,3.731
71,SIM,5.9333275380777195,-0.18,3.731
71,SIM,6.033328986959532,-0.1799,3.7309
71,SIM,6.133330435724929,-0.18,3.731
71,SIM,6.233331884606741,-0.18,3.7309
71,SIM,6.333332016365603,-0.18,3.7309
71,SIM,6.4333321480080485,-0.18,3.7308
