Step,Step Type,"t,s","I,A","U,V"
89,SIM,0.0,-0.1786,3.8706
89,SIM,0.28571428556460887,-0.1786,3.8706
89,SIM,0.5714285712456331,-0.1787,3.8705
89,SIM,0.8571428568102419,-0.1788,3.8704
89,SIM,1.142857142840512,-0.1789,3.8704
89,SIM,1.259740259614773,-0.18,3.8701
89,SIM,1.376623376389034,-0.18,3.8701
89,SIM,1.4935064933961257,-0.18,3.8701
89,SIM,1.6103896104032174,-0.18,3.8699
89,SIM,1.7272727271774784,-0.18,3.8699
89,SIM,1.8441558439517394,-0.18,3.8699
89,SIM,1.9610389608424157,-0.18,3.8699
89,SIM,2.0779220776166767,-0.18,3.8698
89,SIM,2.1948051946237683,-0.18,3.8698
89,SIM,2.31168831163086,-0.18,3.8698
89,SIM,2.4132231404073536,-0.18,3.8697
89,SIM,2.5147579691838473,-0.18,3.8699
89,SIM,2.616292797960341,-0.18,3.8698
89,SIM,2.71782762685325,-0.18,3.8697
89,SIM,2.8193624556297436,-0.18,3.8696
89,SIM,2.9208972844062373,-0.18,3.8696
89,SIM,3.022432113182731,-0.18,3.8696
89,SIM,3.1239669419592246,-0.18,3.8696
89,SIM,3.2255017708521336,-0.18,3.8696
89,SIM,3.3270365996286273,-0.18,3.8696
89,SIM,3.427176129654981,-0.18,3.8694
89,SIM,3.5273156594485044,-0.18,3.8695
89,SIM,3.6274551892420277,-0.18,3.8695
89,SIM,3.7275947191519663,-0.18,3.8694
89,SIM,3.82773424917832,-0.18,3.8694
89,SIM,3.9278737789718434,-0.18,3.8694
89,SIM,4.028013308765367,-0.18,3.8693
89,SIM,4.128152838791721,-0.18,3.8694
89,SIM,4.228292368585244,-0.18,3.8693
89,SIM,4.328431898378767,-0.18,3.8693
89,SIM,4.428444583201781,-0.18,3.8693
89,SIM,4.5284572675591335,-0.18,3.8692
89,SIM,4.628469952032901,-0.18,3.8692
89,SIM,4.7284826366230845,-0.18,3.8691
89,SIM,4.828495321213268,-0.18,3.8691
89,SIM,4.92850800557062,-0.18,3.8691
89,SIM,5.028520690393634,-0.18,3.869
89,SIM,5.128533374750987,-0.18,3.8691
89,SIM,5.228546059224755,-0.18,3.869
89,SIM,5.328558743814938,-0.18,3.869
89,SIM,5.428559897001833,-0.18,3.869
89,SIM,5.528561049955897,-0.18,3.869
89,SIM,5.628562203259207,-0.18,3.869
89,SIM,5.728563356446102,-0.18,3.8689
89,SIM,5.828564509632997,-0.18,3.8689
89,SIM,5.928565662819892,-0.18,3.8689
89,SIM,6.0285668157739565,-0.18,3.8689
89,SIM,6.128567968960851,-0.18,3.8688
89,SIM,6.228569122031331,-0.18,3.8688
89,SIM,6.328570275218226,-0.18,3.8688
89,SIM,6.428570379968733,-0.18,3.8688
89,SIM,6.5285704848356545,-0.18,3.8688
89,SIM,6.628570589586161,-0.18,3.8688
89,SIM,6.728570694569498,-0.18,3.8688
89,SIM,6.82857079943642,-0.18,3.8688
89,SIM,6.928570904186927,-0.18,3.8687
89,SIM,7.028571009053849,-0.18,3.8687
89,SIM,7.128571114037186,-0.18,3.8688
89,SIM,7.2285712187876925,-0.18,3.8687
89,SIM,7.328571323654614,-0.18,3.8687
89,SIM,7.428571333177388,-0.18,3.8687
89,SIM,7.528571342583746,-0.18,3.8686
89,SIM,7.628571351990104,-0.18,3.8687
89,SIM,7.728571361629292,-0.18,3.8685
89,SIM,7.828571371152066,-0.18,3.8686
89,SIM,7.928571380791254,-0.18,3.8686
89,SIM,8.028571390430443,-0.18,3.8686
89,SIM,8.128571399836801,-0.18,3.8685
89,SIM,8.228571409359574,-0.18,3.8686
89,SIM,8.328571418765932,-0.18,3.8685
89,SIM,8.428571419790387,-0.18,3.8685
89,SIM,8.528571420582011,-0.18,3.8685
89,SIM,8.628571421606466,-0.18,3.8685
89,SIM,8.72857142239809,-0.18,3.8685
89,SIM,8.828571423189715,-0.18,3.8684
89,SIM,8.928571423981339,-0.18,3.8684
89,SIM,9.028571424772963,-0.18,3.8684
89,SIM,9.128571425797418,-0.18,3.8685
89,SIM,9.228571426821873,-0.18,3.8684
89,SIM,9.328571427613497,-0.18,3.8684
89,SIM,9.428571427590214,-0.18,3.8684
89,SIM,9.52857142756693,-0.18,3.8683
89,SIM,9.628571427776478,-0.18,3.8684
89,SIM,9.728571427986026,-0.18,3.8682
89,SIM,9.828571427962743,-0.18,3.8682
89,SIM,9.928571428055875,-0.18,3.8682
89,SIM,10.028571428032592,-0.18,3.8682
89,SIM,10.128571428009309,-0.18,3.8683
89,SIM,10.228571428218856,-0.18,3.8682
89,SIM,10.328571428428404,-0.18,3.8682
89,SIM,10.428571428405121,-0.18,3.8681
89,SIM,10.528571428381838,-0.18,3.8683
89,SIM,10.628571428358555,-0.18,3.8682
89,SIM,10.728571428451687,-0.18,3.8681
89,SIM,10.828571428428404,-0.18,3.8681
89,SIM,10.928571428405121,-0.18,3.8681
89,SIM,11.028571428381838,-0.18,3.8681
89,SIM,11.128571428358555,-0.18,3.868
89,SIM,11.228571428451687,-0.18,3.868
89,SIM,11.328571428428404,-0.18,3.8681
89,SIM,11.428571428405121,-0.18,3.8681
89,SIM,11.528571428381838,-0.18,3.8681
89,SIM,11.628571428358555,-0.18,3.8681
89,SIM,11.728571428451687,-0.18,3.8681
89,SIM,11.828571428428404,-0.18,3.8681
89,SIM,11.928571428405121,-0.18,3.8681
89,SIM,12.028571428381838,-0.18,3.8681
89,SIM,12.128571428358555,-0.181,3.868
89,SIM,12.228571428451687,-0.181,3.8679
89,SIM,12.328571428428404,-0.181,3.868
89,SIM,12.428571428405121,-0.181,3.8679
89,SIM,12.528571428381838,-0.181,3.8678
89,SIM,12.628571428358555,-0.181,3.8679
89,SIM,12.728571428451687,-0.181,3.8679
89,SIM,12.828571428428404,-0.181,3.8679
89,SIM,12.928571428405121,-0.181,3.8679
89,SIM,13.028571428381838,-0.181,3.8678
89,SIM,13.128571428358555,-0.1819,3.8678
89,SIM,13.228571428451687,-0.182,3.8678
89,SIM,13.328571428428404,-0.182,3.8678
89,SIM,13.428571428405121,-0.1889,3.8674
89,SIM,13.528571428381838,-0.189,3.8674
89,SIM,13.628571428358555,-0.189,3.8674
89,SIM,13.728571428451687,-0.1989,3.8668
89,SIM,13.828571428428404,-0.1989,3.8669
89,SIM,13.928571428405121,-0.1989,3.8669
89,SIM,14.028571428381838,-0.199,3.8668
89,SIM,14.128571428358555,-0.18,3.8677
89,SIM,14.228571428451687,-0.18,3.8677
89,SIM,14.328571428428404,-0.18,3.8677
89,SIM,14.428571428405121,-0.2539,3.8644
89,SIM,14.528571428381838,-0.2539,3.8644
89,SIM,14.628571428358555,-0.254,3.8643
89,SIM,14.728571428451687,-0.2919,3.8625
89,SIM,14.828571428428404,-0.2919,3.8625
89,SIM,14.928571428405121,-0.2919,3.8624
89,SIM,15.028571428381838,-0.292,3.8624
89,SIM,15.128571428358555,-0.3269,3.8607
89,SIM,15.228571428451687,-0.3269,3.8607
89,SIM,15.328571428428404,-0.327,3.8607
89,SIM,15.428571428405121,-0.36,3.8592
89,SIM,15.528571428381838,-0.36,3.859
89,SIM,15.628571428358555,-0.36,3.859
89,SIM,15.728571428451687,-0.3959,3.8573
89,SIM,15.828571428428404,-0.396,3.8573
89,SIM,15.928571428405121,-0.396,3.8573
89,SIM,16.028571428381838,-0.396,3.8572
89,SIM,16.128571428358555,-0.435,3.8553
89,SIM,16.228571428451687,-0.435,3.8552
89,SIM,16.328571428428404,-0.435,3.8552
89,SIM,16.42857142840512,-0.454,3.8542
89,SIM,16.528571428381838,-0.454,3.8542
89,SIM,16.628571428358555,-0.454,3.8542
89,SIM,16.728571428451687,-0.472,3.8532
89,SIM,16.828571428428404,-0.472,3.8531
89,SIM,16.92857142840512,-0.472,3.8531
89,SIM,17.028571428381838,-0.472,3.853
89,SIM,17.128571428358555,-0.492,3.852
89,SIM,17.228571428451687,-0.492,3.852
89,SIM,17.328571428428404,-0.492,3.852
89,SIM,17.42857142840512,-0.5509,3.8492
89,SIM,17.528571428381838,-0.5509,3.8491
89,SIM,17.628571428358555,-0.551,3.8491
89,SIM,17.728571428451687,-0.5999,3.8467
89,SIM,17.828571428428404,-0.6,3.8468
89,SIM,17.92857142840512,-0.6,3.8466
89,SIM,18.028571428381838,-0.6,3.8465
89,SIM,18.128571428358555,-0.6419,3.8444
89,SIM,18.228571428451687,-0.642,3.8443
89,SIM,18.328571428428404,-0.642,3.8443
89,SIM,18.42857142840512,-0.7079,3.8411
89,SIM,18.528571428381838,-0.7079,3.8411
89,SIM,18.628571428358555,-0.708,3.841
89,SIM,18.728571428451687,-0.7699,3.8378
89,SIM,18.828571428428404,-0.77,3.8379
89,SIM,18.92857142840512,-0.77,3.8378
89,SIM,19.028571428381838,-0.77,3.8377
89,SIM,19.128571428358555,-0.8287,3.8348
89,SIM,19.228571428451687,-0.8288,3.8347
89,SIM,19.328571428428404,-0.8289,3.8346
89,SIM,19.42857142840512,-0.7692,3.837
89,SIM,19.528571428381838,-0.7691,3.837
89,SIM,19.628571428358555,-0.7691,3.837
89,SIM,19.728571428451687,-0.758,3.8372
89,SIM,19.828571428428404,-0.758,3.8372
89,SIM,19.92857142840512,-0.758,3.8372
89,SIM,20.028571428381838,-0.758,3.8371
89,SIM,20.128571428358555,-0.775,3.8362
89,SIM,20.228571428451687,-0.775,3.8361
89,SIM,20.328571428428404,-0.775,3.8361
89,SIM,20.42857142840512,-0.6162,3.8431
89,SIM,20.528571428381838,-0.6162,3.8431
89,SIM,20.628571428358555,-0.6161,3.8431
89,SIM,20.728571428451687,-0.5261,3.8471
89,SIM,20.828571428428404,-0.5261,3.8472
89,SIM,20.92857142840512,-0.5261,3.8472
89,SIM,21.028571428381838,-0.526,3.8473
89,SIM,21.128571428358555,-0.481,3.8492
89,SIM,21.228571428451687,-0.481,3.8493
89,SIM,21.328571428428404,-0.481,3.8492
89,SIM,21.42857142840512,-0.3931,3.8532
89,SIM,21.528571428381838,-0.3931,3.8532
89,SIM,21.628571428358555,-0.3931,3.8533
89,SIM,21.728571428451687,-0.347,3.8553
89,SIM,21.828571428428404,-0.347,3.8553
89,SIM,21.92857142840512,-0.347,3.8554
89,SIM,22.028571428381838,-0.347,3.8554
89,SIM,22.128571428358555,-0.326,3.8564
89,SIM,22.228571428451687,-0.326,3.8565
89,SIM,22.328571428428404,-0.326,3.8564
89,SIM,22.42857142840512,-0.306,3.8574
89,SIM,22.528571428381838,-0.306,3.8574
89,SIM,22.628571428358555,-0.306,3.8575
89,SIM,22.728571428451687,-0.294,3.858
89,SIM,22.828571428428404,-0.294,3.858
89,SIM,22.92857142840512,-0.294,3.8581
89,SIM,23.028571428381838,-0.294,3.8581
89,SIM,23.128571428358555,-0.2883,3.8584
89,SIM,23.228571428451687,-0.2882,3.8584
89,SIM,23.328571428428404,-0.2881,3.8584
89,SIM,23.42857142840512,-0.2949,3.8581
89,SIM,23.528571428381838,-0.295,3.858
89,SIM,23.628571428358555,-0.295,3.858
89,SIM,23.728571428451687,-0.302,3.8577
89,SIM,23.828571428428404,-0.302,3.8577
89,SIM,23.92857142840512,-0.302,3.8577
89,SIM,24.028571428381838,-0.302,3.8577
89,SIM,24.128571428358555,-0.31,3.8573
89,SIM,24.228571428451687,-0.31,3.8574
89,SIM,24.328571428428404,-0.31,3.8574
89,SIM,24.42857142840512,-0.3589,3.8552
89,SIM,24.528571428381838,-0.3589,3.8551
89,SIM,24.628571428358555,-0.3589,3.8551
89,SIM,24.728571428451687,-0.378,3.8542
89,SIM,24.828571428428404,-0.378,3.8542
89,SIM,24.92857142840512,-0.378,3.8542
89,SIM,25.028571428381838,-0.378,3.8541
89,SIM,25.128571428358555,-0.381,3.854
89,SIM,25.228571428451687,-0.381,3.8539
89,SIM,25.328571428428404,-0.381,3.8539
89,SIM,25.42857142840512,-0.4399,3.8514
89,SIM,25.528571428381838,-0.4399,3.8513
89,SIM,25.628571428358555,-0.44,3.8513
89,SIM,25.728571428451687,-0.483,3.8492
89,SIM,25.828571428428404,-0.483,3.8491
89,SIM,25.92857142840512,-0.483,3.8491
89,SIM,26.028571428381838,-0.483,3.849
89,SIM,26.128571428358555,-0.515,3.8474
89,SIM,26.228571428451687,-0.515,3.8475
89,SIM,26.328571428428404,-0.515,3.8474
89,SIM,26.42857142840512,-0.546,3.8459
89,SIM,26.528571428381838,-0.546,3.8459
89,SIM,26.628571428358555,-0.546,3.8458
89,SIM,26.728571428451687,-0.556,3.8452
89,SIM,26.828571428428404,-0.556,3.8452
89,SIM,26.92857142840512,-0.556,3.8452
89,SIM,27.028571428381838,-0.556,3.8451
89,SIM,27.128571428358555,-0.5569,3.8449
89,SIM,27.228571428451687,-0.557,3.8449
89,SIM,27.328571428428404,-0.557,3.8449
89,SIM,27.42857142840512,-0.6429,3.8408
89,SIM,27.528571428381838,-0.6429,3.8408
89,SIM,27.628571428358555,-0.643,3.8407
89,SIM,27.728571428451687,-0.696,3.8381
89,SIM,27.828571428428404,-0.696,3.8382
89,SIM,27.92857142840512,-0.696,3.8381
89,SIM,28.028571428381838,-0.696,3.838
89,SIM,28.128571428358555,-0.7309,3.8362
89,SIM,28.228571428451687,-0.7309,3.8363
89,SIM,28.328571428428404,-0.731,3.8361
89,SIM,28.42857142840512,-0.7769,3.8338
89,SIM,28.528571428381838,-0.7769,3.8337
89,SIM,28.628571428358555,-0.777,3.8337
89,SIM,28.728571428451687,-0.8099,3.832
89,SIM,28.828571428428404,-0.8099,3.832
89,SIM,28.92857142840512,-0.81,3.8319
89,SIM,29.028571428381838,-0.81,3.8318
89,SIM,29.128571428358555,-0.835,3.8305
89,SIM,29.228571428451687,-0.835,3.8305
