Step,Step Type,"t,s","I,A","U,V"
55,CC DChg,0.0,-1.698,3.5072
55,CC DChg,2.75,-1.698,3.5072
55,CC DChg,3.090909090882633,-1.6984,3.5065
55,CC DChg,3.4318181818234734,-1.6989,3.506
55,CC DChg,3.7727272727061063,-1.6991,3.5052
55,CC DChg,4.1136363637051545,-1.6993,3.5046
55,CC DChg,4.454545454471372,-1.6994,3.5042
55,CC DChg,4.795454545528628,-1.6995,3.5038
55,CC DChg,5.136363636411261,-1.6995,3.5034
55,CC DChg,5.477272727293894,-1.6996,3.5031
55,CC DChg,5.818181818176527,-1.6996,3.5027
55,CC DChg,6.159090909117367,-1.6996,3.5024
55,CC DChg,6.280991735577118,-1.6996,3.5022
55,CC DChg,6.4028925619786605,-1.6997,3.5019
55,CC DChg,6.524793388496619,-1.6997,3.5017
55,CC DChg,6.646694214898162,-1.6997,3.5015
55,CC DChg,6.768595041357912,-1.6997,3.5012
55,CC DChg,6.890495867759455,-1.6997,3.501
55,CC DChg,7.0123966942192055,-1.6997,3.5008
55,CC DChg,7.134297520678956,-1.6997,3.5006
55,CC DChg,7.256198347196914,-1.6998,3.5004
55,CC DChg,7.378099173598457,-1.6998,3.5002
55,CC DChg,7.480090157769155,-1.6998,3.5
55,CC DChg,7.58208114199806,-1.6998,3.4998
55,CC DChg,7.684072126226965,-1.6998,3.4996
55,CC DChg,7.786063110455871,-1.6998,3.4994
55,CC DChg,7.888054094684776,-1.6998,3.4993
55,CC DChg,7.9900450788554735,-1.6998,3.4991
55,CC DChg,8.092036063084379,-1.6998,3.499
55,CC DChg,8.194027047313284,-1.6998,3.4988
55,CC DChg,8.29601803154219,-1.6998,3.4986
55,CC DChg,8.398009015771095,-1.6998,3.4984
55,CC DChg,8.498190014332067,-1.6998,3.4983
55,CC DChg,8.59837101289304,-1.6998,3.4982
55,CC DChg,8.698552011454012,-1.6998,3.498
55,CC DChg,8.798733010014985,-1.6999,3.4978
55,CC DChg,8.898914008575957,-1.6999,3.4976
55,CC DChg,8.999095007195137,-1.6999,3.4975
55,CC DChg,9.09927600575611,-1.6999,3.4973
55,CC DChg,9.199457004317082,-1.6999,3.4972
55,CC DChg,9.299638002878055,-1.6999,3.4971
55,CC DChg,9.399819001439027,-1.6999,3.4969
55,CC DChg,9.499835455906577,-1.6999,3.4968
55,CC DChg,9.59985191031592,-1.6999,3.4966
55,CC DChg,9.699868364725262,-1.6999,3.4965
55,CC DChg,9.799884819076397,-1.6999,3.4963
55,CC DChg,9.899901273485739,-1.6999,3.4962
55,CC DChg,9.999917728011496,-1.6999,3.4961
55,CC DChg,10.099934182420839,-1.6999,3.4959
55,CC DChg,10.199950636771973,-1.6999,3.4958
55,CC DChg,10.299967091181315,-1.6999,3.4957
55,CC DChg,10.399983545590658,-1.6999,3.4955
55,CC DChg,10.49998504150426,-1.6999,3.4954
55,CC DChg,10.599986537301447,-1.6999,3.4953
55,CC DChg,10.69998803321505,-1.6999,3.4952
55,CC DChg,10.799989529012237,-1.6999,3.495
55,CC DChg,10.899991024867631,-1.6999,3.4949
55,CC DChg,10.999992520723026,-1.6999,3.4948
55,CC DChg,11.099994016578421,-1.6999,3.4946
55,CC DChg,11.199995512375608,-1.6999,3.4945
55,CC DChg,11.29999700828921,-1.6999,3.4944
55,CC DChg,11.399998504144605,-1.6999,3.4943
55,CC DChg,11.499998640152626,-1.6999,3.4942
55,CC DChg,11.599998776102439,-1.6999,3.494
55,CC DChg,11.699998912110459,-1.6999,3.4939
55,CC DChg,11.79999904811848,-1.6999,3.4938
55,CC DChg,11.899999184068292,-1.6999,3.4937
55,CC DChg,11.999999320076313,-1.6999,3.4935
55,CC DChg,12.099999456026126,-1.6999,3.4934
55,CC DChg,12.199999591975939,-1.6999,3.4933
55,CC DChg,12.299999727983959,-1.6999,3.4932
